time_s,step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.680000,34,0.10865065,0.17066805,9.778559,0.17066805,9.778559,-0.64378190,-36.885986,-0.46240550,-26.493884,8.83392906,506.146852,8.96736431,513.792128,0.81444995,46.664545,0.63307355,36.272443,-9.38153267,-537.522227,-9.35646248,-536.085811,1.00728631,57.713254,1.25699055,72.020254,177.522227,176.085811,1.08345866,0
0.700000,35,0.16479728,0.25886297,14.831756,0.25886297,14.831756,-0.46240550,-26.493884,-0.28623688,-16.400165,8.96736431,513.792128,8.52598763,488.503107,0.72126848,41.325640,0.54509985,31.231921,-9.35646248,-536.085811,-9.33031464,-534.587650,1.25699055,72.020254,1.22887993,70.409633,176.085811,174.587650,1.01369309,0
0.720000,36,0.20815381,0.32696727,18.733845,0.32696727,18.733845,-0.28623688,-16.400165,-0.12430333,-7.122056,8.52598763,488.503107,7.70249462,441.320434,0.61320415,35.134010,0.45127060,25.855901,-9.33031464,-534.587650,-9.30720615,-533.263632,1.22887993,70.409633,1.03204966,59.132090,174.587650,173.263632,1.02149522,0
0.740000,37,0.23826167,0.37426057,21.443551,0.37426057,21.443551,-0.12430333,-7.122056,0.01795815,1.028926,7.70249462,441.320434,6.66591978,381.929070,0.49856390,28.565607,0.35630243,20.414625,-9.30720615,-533.263632,-9.28944397,-532.245933,1.03204966,59.132090,0.74639738,42.765419,173.263632,172.245933,1.10149550,0
0.760000,38,0.25512132,0.40074363,22.960919,0.40074363,22.960919,0.01795815,1.028926,0.13772342,7.890970,6.66591978,381.929070,5.52560329,316.593748,0.38278549,21.931993,0.26302022,15.069948,-9.28944397,-532.245933,-9.27823925,-531.603950,0.74639738,42.765419,0.41384271,23.711441,172.245933,171.603950,1.25234509,0
0.780000,39,0.26433733,0.41522011,23.790360,0.41522011,23.790360,0.13772342,7.890970,0.23383659,13.397850,5.52560329,316.593748,4.35069513,249.276469,0.27749670,15.899389,0.18138352,10.392510,-9.27823925,-531.603950,-9.27419090,-531.371997,0.41384271,23.711441,0.06354012,3.640580,171.603950,171.371997,1.45813596,0
0.800000,40,0.27107689,0.42580658,24.396920,0.42580658,24.396920,0.23383659,13.397850,0.30699828,17.589706,4.35069513,249.276469,3.24304104,185.812564,0.19196999,10.999070,0.11880830,6.807214,-9.27419090,-531.371997,-9.27672291,-531.517070,0.06354012,3.640580,-0.24313673,-13.930709,171.371997,171.517070,1.35211408,0
0.820000,41,0.27641210,0.43418711,24.877089,0.43418711,24.877089,0.30699828,17.589706,0.35993049,20.622498,3.24304104,185.812564,2.30101919,131.838688,0.12718883,7.287383,0.07425663,4.254591,-9.27672291,-531.517070,-9.28447533,-531.961251,-0.24313673,-13.930709,-0.47001085,-26.929638,171.517070,171.961251,1.23830938,0
0.840000,42,0.28192922,0.44285339,25.373630,0.44285339,25.373630,0.35993049,20.622498,0.39650673,22.718162,2.30101919,131.838688,1.56145835,89.464973,0.08292291,4.751133,0.04634666,2.655468,-9.28447533,-531.961251,-9.29554939,-532.595748,-0.47001085,-26.929638,-0.59756124,-34.237737,171.961251,172.595748,1.19964314,0
0.860000,43,0.28695861,0.45075354,25.826275,0.45075354,25.826275,0.39650673,22.718162,0.42093432,24.117760,1.56145835,89.464973,1.03107643,59.076328,0.05424681,3.108113,0.02981922,1.708515,-9.29554939,-532.595748,-9.30787945,-533.302209,-0.59756124,-34.237737,-0.62304354,-35.697765,172.595748,173.302209,1.22343326,0
