time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.270000,13,2,54,-0.39511976,-0.62065268,-35.560779,-0.62065268,-35.560779,2.56303239,146.850939,2.49586868,143.002742,-13.58484077,-778.354042,-13.43273926,-769.639267,-3.18368506,-182.411717,-3.11652136,-178.563521,-5.29157782,-303.185076,-5.45597315,-312.604235,-32.87850189,-1883.799395,-32.87908173,-1883.832617,56.814924,47.395765,0.11714578,0
0.275000,13,3,55,-0.39511976,-0.62065268,-35.560779,-0.62065268,-35.560779,2.49586868,143.002742,2.43011117,139.235114,-13.43273926,-769.639267,-13.15151978,-753.526577,-3.11652136,-178.563521,-3.05076385,-174.795893,-5.45597315,-312.604235,-5.62030554,-322.019787,-32.87908173,-1883.832617,-32.86650467,-1883.112005,47.395765,37.980213,0.11714578,0
0.280000,14,0,56,-2.56264615,-4.02539539,-230.638167,-4.02539539,-230.638167,2.43011117,139.235114,2.33640909,133.866380,-13.15151978,-753.526577,-18.74041367,-1073.746609,-6.45550656,-369.873281,-6.36180449,-364.504547,-5.62030554,-322.019787,-5.76956272,-330.571594,-32.86650467,-1883.112005,-29.85140610,-1710.359582,37.980213,29.428406,0.02561149,0
0.285000,14,1,57,-2.56264615,-4.02539539,-230.638167,-4.02539539,-230.638167,2.33640909,133.866380,2.22315359,127.377318,-18.74041367,-1073.746609,-22.65109062,-1297.811894,-6.36180449,-364.504547,-6.24854898,-358.015485,-5.76956272,-330.571594,-5.90517616,-338.341671,-29.85140610,-1710.359582,-27.12270737,-1554.016661,29.428406,21.658329,0.02561149,0
0.290000,14,2,58,-2.56264615,-4.02539539,-230.638167,-4.02539539,-230.638167,2.22315359,127.377318,2.09478807,120.022516,-22.65109062,-1297.811894,-25.67308617,-1470.959484,-6.24854898,-358.015485,-6.12018347,-350.660683,-5.90517616,-338.341671,-6.02820110,-345.390481,-27.12270737,-1554.016661,-24.60501480,-1409.763503,21.658329,14.609519,0.02561149,0
0.295000,14,3,59,-2.56264615,-4.02539539,-230.638167,-4.02539539,-230.638167,2.09478807,120.022516,1.95524502,112.027287,-25.67308617,-1470.959484,-27.90861130,-1599.045639,-6.12018347,-350.660683,-5.98064041,-342.665454,-6.02820110,-345.390481,-6.14077902,-351.840721,-24.60501480,-1409.763503,-22.51561546,-1290.049739,14.609519,8.159279,0.02561149,0
0.300000,15,0,60,-2.72507262,-4.28053427,-245.256548,-4.28053427,-245.256548,1.95524502,112.027287,1.78888404,102.495506,-27.90861130,-1599.045639,-33.27219391,-1906.356286,-6.23577929,-357.283835,-6.06941831,-347.752053,-6.14077902,-351.840721,-6.23366880,-357.162913,-22.51561546,-1290.049739,-18.57794380,-1064.437772,8.159279,2.837087,0.02390221,1
0.305000,15,1,61,-2.72507262,-4.28053427,-245.256548,-4.28053427,-245.256548,1.78888404,102.495506,1.59617889,91.454314,-33.27219391,-1906.356286,-38.54102707,-2208.238189,-6.06941831,-347.752053,-5.87671316,-336.710861,-6.23366880,-357.162913,-6.30807924,-361.426317,-18.57794380,-1064.437772,-14.88212967,-852.683220,2.837087,1.426317,0.02390221,1
0.310000,15,2,62,-2.72507262,-4.28053427,-245.256548,-4.28053427,-245.256548,1.59617889,91.454314,1.37760341,78.930861,-38.54102707,-2208.238189,-43.71509933,-2504.690693,-5.87671316,-336.710861,-5.65813768,-324.187409,-6.30807924,-361.426317,-6.36623955,-364.758657,-14.88212967,-852.683220,-11.63209438,-666.469915,1.426317,4.758657,0.02390221,1
0.315000,15,3,63,-2.72507262,-4.28053427,-245.256548,-4.28053427,-245.256548,1.37760341,78.930861,1.14130855,65.392163,-43.71509933,-2504.690693,-47.25898361,-2707.740305,-5.65813768,-324.187409,-5.42184281,-310.648710,-6.36623955,-364.758657,-6.41607285,-367.613895,-11.63209438,-666.469915,-9.96663857,-571.046326,4.758657,7.613895,0.02390221,1
