time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.160000,8,0,32,1.50638938,2.36623096,135.575048,2.36623096,135.575048,8.53543663,10.00000000,8.53543663,10.00000000,-0.30755162,-17.621410,-0.30415472,-17.426782,-2.80091953,-160.480868,0.67938101,38.925665,2.67378259,153.196458,2.67038569,153.001830,0.24698061,14.150946,0.24500832,14.037943,1.91695440,109.833397,-0.39445883,-22.600826,14.150946,14.037943,0.08750939,0
0.165000,8,1,33,1.50638938,2.36623096,135.575048,2.36623096,135.575048,10.00000000,10.00000000,10.00000000,10.00000000,-0.30415472,-17.426782,-0.28365532,-16.252252,0.67938101,38.925665,4.09987974,234.905806,2.67038569,153.001830,2.64988628,151.827300,0.24500832,14.037943,0.23167878,13.274217,-0.39445883,-22.600826,-2.66590691,-152.745214,14.037943,13.274217,0.08750939,0
0.170000,8,2,34,1.50638938,2.36623096,135.575048,2.36623096,135.575048,10.00000000,10.00000000,10.00000000,10.00000000,-0.28365532,-16.252252,-0.24634562,-14.114565,4.09987974,234.905806,7.46193743,427.537522,2.64988628,151.827300,2.61257659,149.689612,0.23167878,13.274217,0.20731153,11.878075,-2.66590691,-152.745214,-4.87345123,-279.228187,13.274217,11.878075,0.08750939,0
0.175000,8,3,35,1.50638938,2.36623096,135.575048,2.36623096,135.575048,10.00000000,10.00000000,10.00000000,10.00000000,-0.24634562,-14.114565,-0.19251168,-11.030107,7.46193743,427.537522,10.76679039,616.891648,2.61257659,149.689612,2.55874264,146.605154,0.20731153,11.878075,0.17231604,9.872982,-4.87345123,-279.228187,-6.99909544,-401.018629,11.878075,9.872982,0.08750939,0
0.180000,9,0,36,1.22422707,1.92301142,110.180438,1.92301142,110.180438,10.00000000,10.00000000,10.00000000,10.00000000,-0.19251168,-11.030107,-0.12243426,-7.014966,10.76679039,616.891648,14.01548481,803.028127,2.11552310,121.210545,2.04544568,117.195405,0.17231604,9.872982,0.12713595,7.284353,-6.99909544,-401.018629,-9.03602028,-517.725826,9.872982,7.284353,0.07190160,0
0.185000,9,1,37,1.22422707,1.92301142,110.180438,1.92301142,110.180438,10.00000000,10.00000000,10.00000000,10.00000000,-0.12243426,-7.014966,-0.03639010,-2.084999,14.01548481,803.028127,17.20883179,985.993432,2.04544568,117.195405,1.95940153,112.265438,0.12713595,7.284353,0.07216760,4.134899,-9.03602028,-517.725826,-10.99367046,-629.890919,7.284353,4.134899,0.07190160,0
0.190000,9,2,38,1.22422707,1.92301142,110.180438,1.92301142,110.180438,10.00000000,10.00000000,10.00000000,10.00000000,-0.03639010,-2.084999,0.06534681,3.744097,17.20883179,985.993432,20.34738350,1165.819199,1.95940153,112.265438,1.85766461,106.436342,0.07216760,4.134899,0.00765529,0.438616,-10.99367046,-629.890919,-12.90246201,-739.256618,4.134899,0.438616,0.07190160,0
0.195000,9,3,39,1.22422707,1.92301142,110.180438,1.92301142,110.180438,10.00000000,10.00000000,10.00000000,10.00000000,0.06534681,3.744097,0.18250388,10.456702,20.34738350,1165.819199,23.43141556,1342.521219,1.85766461,106.436342,1.74050754,99.723736,0.00765529,0.438616,-0.06643217,-3.806283,-12.90246201,-739.256618,-14.81749249,-848.979782,0.438616,3.806283,0.07190160,0
0.200000,10,0,40,-0.14895654,-0.23398039,-13.406089,-0.23398039,-13.406089,10.00000000,-6.84658623,10.00000000,-6.84658623,0.18250388,10.456702,0.28656256,16.418825,23.43141556,1342.521219,20.81173515,1192.424589,-0.41648427,-23.862791,-0.52054295,-29.824914,-0.06643217,-3.806283,-0.13237908,-7.584763,-14.81749249,-848.979782,-13.18938160,-755.695900,3.806283,7.584763,0.10861138,0
0.205000,10,1,41,-0.14895654,-0.23398039,-13.406089,-0.23398039,-13.406089,-6.84658623,-7.28610420,-6.84658623,-7.28610420,0.28656256,16.418825,0.37701702,21.601484,20.81173515,1192.424589,18.09089279,1036.531805,-0.52054295,-29.824914,-0.61099741,-35.007573,-0.13237908,-7.584763,-0.19022435,-10.899052,-13.18938160,-755.695900,-11.56905174,-662.857838,7.584763,10.899052,0.10861138,0
