time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s,policy_action,policy_updated,source_time_s,replay_motor_angle_deg,real_pole_angle_unwrapped_deg,sim_pole_angle_unwrapped_deg,real_pole_angle_wrapped_deg,sim_pole_angle_wrapped_deg,sim_pole_vel_deg_s,pole_angle_error_deg
6.4064000000000005,-24.874,4.934,-710.594,0.536,358.24,-613.58,1.877692,0,6.5128,4.945047183683401,-1081.7599999999998,2147.3746064154598,358.24000000000024,347.37460641545977,2949.3326699533704,-10.86539358454047
6.4113,-24.874,0.407,-669.962,0.453,358.24,-613.58,1.877692,0,6.5177,0.4508740896219592,-1081.7599999999998,2160.767277906072,358.24000000000024,0.767277906072195,2646.650831468948,2.5272779060719586
6.4164,-24.874,-3.813,-614.555,0.801,353.67,-684.902,3.027784,1,6.5228,-3.5482156860338065,-1086.33,2173.349013981538,353.6700000000001,13.349013981538064,2400.3772850744263,19.67901398153799
6.4214,-28.533,-3.813,-614.555,0.801,348.75,-753.309,3.027784,0,6.5278,-4.416791999720828,-1091.25,2184.7694534603843,348.75,24.769453460384284,2229.216190155432,36.019453460384284
6.4264,-28.533,-11.001,-487.119,0.81,343.48,-818.573,3.027784,0,6.5328,-10.737895999760353,-1096.52,2195.127449977478,343.48,35.127449977478136,1997.892145504966,51.64744997747812
6.4314,-28.533,-14.078,-442.794,0.859,337.85,-878.576,3.027784,0,6.5378,-14.050280000012838,-1102.15,2204.302851381594,337.8499999999999,44.30285138159388,1776.5490375035884,66.45285138159397
6.4364,-28.533,-16.825,-389.234,0.735,331.88,-936.436,2.964425,1,6.5428,-16.80112799997822,-1108.1200000000001,2212.671082837253,331.8799999999999,52.671082837252925,1632.6248216321835,80.79108283725304
6.4414,-26.193,-19.199,-340.291,0.627,331.88,-936.436,2.964425,0,6.5478,-19.16758400001455,-1108.1200000000001,2220.424693713482,331.8799999999999,60.42469371348216,1518.942105145772,88.54469371348227
6.446400000000001,-26.193,-21.199,-269.185,1.092,325.9,-961.663,2.964425,0,6.5528,-21.175127999978162,-1114.1,2227.699215294606,325.9000000000001,67.69921529460589,1429.090031947117,101.7992152946058
6.4514000000000005,-26.193,-22.826,-214.702,0.594,319.22,-1042.02,2.964425,0,6.5578,-22.794500000014672,-1120.78,2234.592694742997,319.22,74.59269474299708,1359.323514385849,115.37269474299706
6.4564,-26.193,-24.078,-172.223,0.826,312.89,-1049.72,2.478316,1,6.5628,-24.05531199997918,-1127.1100000000001,2241.195655968243,312.8899999999999,81.19565596824305,1304.9764369519423,128.30565596824317
6.462400000000001,-17.852,-25.155,-123.28,0.643,305.86,-1109.532,2.478316,0,6.5688,-25.118679999966616,-1134.1399999999999,2248.817285794471,305.8600000000001,88.81728579447099,1254.3297106779598,142.95728579447086
6.4674000000000005,-17.852,-25.485,-6.926,1.623,299.18,-1101.455,2.478316,0,6.5738,-25.43695200002246,-1140.82,2254.9625152978942,299.18000000000006,94.96251529789424,1218.679418840912,155.78251529789418
6.4724,-17.852,-25.243,53.098,0.884,292.5,-1119.087,2.478316,0,6.5788,-25.258488000014264,-1147.5,2260.9328427242413,292.5,100.93284272424125,1183.2079236789305,168.43284272424125
6.4774,-17.852,-25.243,53.098,0.884,292.5,-1119.087,1.653826,1,6.5838,-25.14698800004496,-1147.5,2266.714296659268,292.5,106.7142966592678,1144.218394779936,174.2142966592678
6.4824,-3.511,-24.1,103.888,0.511,285.47,-1104.856,1.653826,0,6.5888,-24.114080000012994,-1154.53,2272.267836805372,285.47,112.2678368053721,1094.7425826349076,-173.20216319462793
6.4874,-3.511,-23.177,169.453,1.457,279.14,-1122.528,1.653826,0,6.5938,-23.25453199996363,-1160.86,2277.5424690571563,279.1400000000001,117.54246905715627,1039.2084482085472,-161.59753094284383
6.4923,-3.511,-23.177,169.453,1.457,272.81,-1087.539,1.653826,0,6.5987,-23.022049999790237,-1167.19,2282.447876241037,272.80999999999995,122.44787624103719,981.714727996396,-150.36212375896275
6.4974,-3.511,-20.078,268.262,0.652,266.48,-1071.37,0.657834,1,6.6038,-20.33321176458595,-1173.52,2287.1388420946423,266.48,127.13884209464231,892.5773230613667,-139.3411579053577
6.5024,13.157,-20.078,268.262,0.652,260.86,-1004.631,0.657834,0,6.6088,-19.958447999889334,-1179.14,2291.3006819845514,260.8599999999999,131.30068198455137,807.8633071031445,-129.55931801544853
6.5074000000000005,13.157,-18.21,287.654,0.428,260.86,-1004.631,0.657834,0,6.6138,-18.18228000001305,-1179.14,2295.0467900997755,260.8599999999999,135.04679009977554,719.6559084211998,-125.81320990022436
6.5124,13.157,-16.012,366.147,1.449,255.59,-932.94,0.657834,0,6.6188,-15.791135999794783,-1184.41,2298.1181323894834,255.58999999999992,138.11813238948343,557.9773571508099,-117.47186761051648
6.5174,13.157,-10.363,451.105,0.544,250.31,-913.149,0.954726,1,6.6238,-10.580895999897042,-1189.6899999999998,2300.044398221503,250.31000000000017,140.0443982215029,308.36898825477857,-110.26560177849728
6.5224,23.824,-7.308,452.028,0.27,245.39,-867.904,0.954726,0,6.6288,-7.302367999994758,-1194.6100000000001,2300.704979024524,245.38999999999987,140.70497902452416,61.157551907005306,-104.68502097547571
